City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
513,pacific grove,36.6177,-121.9166,53.55,75,0,11.01,US,1669772431
514,derzhavinsk,51.1,66.3167,8.29,81,100,10.8,KZ,1669772670
515,macomer,40.262,8.7699,44.33,95,100,5.46,IT,1669772670
516,santa rosa,14.3122,121.1114,89.11,71,65,13.51,PH,1669772412
517,likasi,-10.9814,26.7333,61.74,94,100,3.13,CD,1669772670
518,marawi,7.9986,124.2928,79.38,66,92,5.03,PH,1669772671
519,cazzago san martino,45.5938,10.0419,44.01,42,37,1.99,IT,1669772671
520,kuminskiy,58.6667,66.5667,3.83,90,100,5.03,RU,1669772671
521,namatanai,-3.6667,152.4333,85.39,66,100,4.72,PG,1669772671
522,miraflores,19.2167,-98.8083,64.87,69,100,2.35,MX,1669772672
523,salalah,17.0151,54.0924,73.49,78,20,4.61,OM,1669772672
524,aguachica,8.3084,-73.6166,72.5,94,100,4.61,CO,1669772672
